epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.839,1.48276,3.925,1.57825,0.00961,0.77757,0.10061,0.05114,1.18851,3.99799,1.22145,0.000202381,0.000202381,0.000202381
2,218.786,1.12631,3.44395,1.33128,0.0517,0.87071,0.24959,0.1651,0.79234,3.42625,1.17622,0.000383607,0.000383607,0.000383607
3,320.641,1.0838,3.04472,1.29126,0.34879,0.30984,0.25149,0.20174,0.77223,2.91499,1.15703,0.000537333,0.000537333,0.000537333
4,427.146,1.08363,2.71692,1.31734,0.40138,0.53362,0.51056,0.42556,0.83857,2.38425,1.20807,0.00050125,0.00050125,0.00050125
5,19488.5,1.05003,2.3764,1.29308,0.40704,0.64128,0.43733,0.36938,0.75659,2.95262,1.15306,0.00046,0.00046,0.00046
6,19633.3,1.00483,2.1342,1.27995,0.46133,0.55284,0.59579,0.48258,0.79486,2.08787,1.26256,0.00041875,0.00041875,0.00041875
7,19980.9,0.87095,1.87106,1.19473,0.4346,0.7204,0.64304,0.50707,0.75718,2.09369,1.17088,0.0003775,0.0003775,0.0003775
8,20158.3,0.87164,1.68972,1.20381,0.61171,0.83836,0.77888,0.63164,0.74726,1.52262,1.16157,0.00033625,0.00033625,0.00033625
9,20332.5,0.82432,1.54101,1.14219,0.77092,0.68927,0.79526,0.68502,0.66798,1.48698,1.10869,0.000295,0.000295,0.000295
10,20487.7,0.83293,1.46154,1.16337,0.75782,0.75155,0.83357,0.7254,0.6453,1.4737,1.0957,0.00025375,0.00025375,0.00025375
11,20621.5,0.75834,1.38779,1.11475,0.65008,0.79917,0.83184,0.72551,0.62072,1.42585,1.08885,0.0002125,0.0002125,0.0002125
12,20777.3,0.69735,1.29138,1.09052,0.76942,0.82117,0.8911,0.78176,0.59069,1.25537,1.06629,0.00017125,0.00017125,0.00017125
13,20925.2,0.67443,1.22455,1.07211,0.86132,0.84221,0.91942,0.80172,0.59997,1.16542,1.0581,0.00013,0.00013,0.00013
14,21074.1,0.65305,1.16586,1.04695,0.87273,0.87685,0.94237,0.81857,0.59478,1.07783,1.05704,8.875e-05,8.875e-05,8.875e-05
15,21220.5,0.64582,1.14927,1.0659,0.87967,0.87462,0.94396,0.81986,0.57452,1.07709,1.05869,4.75e-05,4.75e-05,4.75e-05
